Campaign,Campaign type,Campaign daily budget,Campaign status,Networks,Languages,Bid strategy type,Location,Ad group,Ad group status,Max CPC,Keyword,Criterion Type,Status,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2
TBX | Search | Joyas Coronas | LATAM,Search,18.00,Paused,Google search,es,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Conquista Competidores | LATAM,Search,10.00,Paused,Google search,es,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Lead Magnet Excel | LATAM,Search,12.00,Paused,Google search,es,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Rentabilidad BOFU | LATAM,Search,10.00,Paused,Google search,es,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Monitor PPC | LATAM,Search,6.00,Paused,Google search,es,Maximize clicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Joyas Coronas | LATAM,,,,,,,Argentina,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Joyas Coronas | LATAM,,,,,,,Mexico,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Joyas Coronas | LATAM,,,,,,,Colombia,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Joyas Coronas | LATAM,,,,,,,Chile,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Joyas Coronas | LATAM,,,,,,,Peru,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Joyas Coronas | LATAM,,,,,,,Spain,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Conquista Competidores | LATAM,,,,,,,Argentina,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Conquista Competidores | LATAM,,,,,,,Mexico,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Conquista Competidores | LATAM,,,,,,,Colombia,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Conquista Competidores | LATAM,,,,,,,Chile,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
TBX | Search | Conquista Competidores | LATAM,,,,,,,Peru,,,,,Location,,,,,,,,,,,,,,,,,,,,,,,
